Table	Namespace		Field	Namespace	Key	Type	Calculated	Default Value	Related Table	Related Namespace	Corresponding Field	Corresponding Namespace	Record Deleted	Record Table	Record Field
HistoricalCurrencyConversion	Core		Date	Core	N	Date	Input						Delete record	Y	Y
HistoricalCurrencyConversion	Core		Header	Core	N	Reference	Input		HistoricalCurrencyHeader	Core	HistoricalCurrencyConversions	Core	Delete record	Y	Y
HistoricalCurrencyConversion	Core		Rate	Core	N	Quantity	Input						Delete record	Y	Y
HistoricalCurrencyHeader	Core		BaseKey	Core	Y	String	Input						Delete record	Y	Y
HistoricalCurrencyHeader	Core		AsOfDate	Core	N	Date	Input						Delete record	Y	Y
OriginatingFile	Core		Name	Core	Y	String	Input						Delete record	Y	Y
OriginatingFile	Core		Source	Core	Y	Reference	Input		OriginatingSource	Core	OriginatingFiles	Core	Delete record	Y	Y
OriginatingFile	Core		CreationTime	Core	N	DateTime	Input						Delete record	Y	Y
OriginatingFile	Core		LastSeenTime	Core	N	DateTime	Input						Delete record	Y	Y
OriginatingFile	Core		RemovalTime	Core	N	DateTime	Input						Delete record	Y	Y
OriginatingSource	Core		Name	Core	Y	String	Input						Delete record	Y	Y
OriginatingSource	Core		IsIntegrationSource	Core	N	Enum	Input		Bool	System			Delete record	Y	Y
ScenarioSetting	Core		CurrencyAsOfDate	Core	N	Date	Input						Delete record	Y	Y
Site	Core		Value	Core	Y	String	Input						Delete record	Y	Y
Site	Core		Address	Mfg	N	String	Input						Delete record	Y	Y
Site	Core		ControlSet	Core	N	Reference	Input		ControlSet	Core	Sites	Core	Delete record	Y	Y
Site	Core		Country	Solutions	N	Reference	Input		Country	Solutions	Sites	Solutions	Retain record, field = Null	Y	Y
Site	Core		Currency	Core	N	Reference	Input		Currency	Core			Retain record, field = Null	Y	Y
Site	Core		Description	Core	N	String	Input						Delete record	Y	Y
Site	Core		LicenseType	Core	N	Enum	Input		LicenseType	System			Delete record	Y	Y
Site	Core		Region	Mfg	N	Reference	Input		Region	Mfg	Sites	Mfg	Retain record, field = Null	Y	Y
Site	Core		SubRegion	Solutions	N	Reference	Input		SubRegion	Solutions	Sites	Solutions	Retain record, field = Null	Y	Y
Site	Core		TimeZone	Core	N	Reference	Input		TimeZone	System			Retain record, field = Null	Y	Y
Site	Core		Type	Core	N	Enum	Input		SiteType	System			Delete record	Y	Y
ClosedLoopAuditMapper	CustomREST		AuditID	CustomREST	Y	String	Input						Delete record	Y	Y
ClosedLoopAuditMapper	CustomREST		InterfaceName	CustomREST	Y	Reference	Input		ClosedLoopGenericDetail	CustomREST	ClosedLoopAuditMappers	CustomREST	Delete record	Y	Y
